AKBNK,AKGRT,ARCLK,ASYAB,DOAS,DOHOL,DYHOL,ECILC,EREGL,GARAN,HURGZ,ISCTR,ISGYO,KCHOL,MIGRS,PETKM,PTOFS,SAHOL,SISE,SKBNK,TCELL,THYAO,TOASO,TSKB,TUPRS,ULKER,VAKBN,VESTL,YKBNK
8.6,5.35,8.35,5.6,5.7,2.23,4.98,5.45,9,4.68,3.74,6.5,2.9,5.5,18.3,5.1,4.58,5.55,5,4.76,7.15,6.1,4.9,2.58,24.2,3.78,6.65,3.68,2.46
8.6,5.4,8.65,5.55,5.75,2.2,4.94,5.45,8.85,4.76,3.58,6.45,2.94,5.55,17.4,5.1,4.48,5.65,4.98,4.66,6.95,6.15,4.84,2.58,24.3,3.78,6.7,3.64,2.45
8.45,5.35,8.5,5.5,5.65,2.13,4.64,5.3,8.75,4.66,3.36,6.3,2.86,5.55,17.5,5.05,4.28,5.6,4.88,4.64,6.85,6.25,4.8,2.5,24,3.78,6.55,3.54,2.44
8.35,5.1,8.35,5.45,5.65,2.06,4.48,5.15,8.6,4.52,3.3,6.15,2.78,5.5,17.3,4.98,4.14,5.4,4.78,4.6,6.95,6.15,4.76,2.42,24.3,3.78,6.35,3.44,2.36
8.3,5.05,8.4,5.4,5.4,2.01,4.32,5.25,8.75,4.28,3.24,5.9,2.7,5.45,16.7,4.92,4.16,5.35,4.68,4.52,6.85,6.2,4.74,2.41,23.9,3.76,6.15,3.4,2.32
8.25,4.85,8.35,5.1,5.35,1.95,4.4,4.65,8.65,4.36,3.3,5.8,2.64,5.35,16.5,4.82,4.18,5.2,4.62,4.42,6.65,6.5,4.8,2.31,23.9,3.72,6.1,3.4,2.28
8.55,5.04,8.5,5.4,5.5,2.02,4.52,4.98,8.75,4.56,3.34,6.05,2.66,5.55,17,4.94,4.22,5.4,4.68,4.44,7,6.7,4.84,2.37,24.1,3.78,6.3,3.44,2.4
8.65,5.2,8.9,5.5,5.8,2.07,4.58,4.96,8.8,4.74,3.4,6.1,2.72,5.95,18,5.08,4.22,5.5,4.8,4.52,6.8,6.7,4.94,2.44,24,3.84,6.5,3.44,2.45
9,5.25,8.9,5.5,5.95,2.12,4.62,4.98,8.8,5,3.46,6.35,2.72,6,18.1,5.25,4.26,5.7,4.92,4.58,7.1,6.65,4.98,2.55,23.9,3.86,6.8,3.48,2.53
8.9,5.25,8.7,5.55,5.9,2.08,4.56,4.96,9,5.1,3.46,6.25,2.76,5.95,18,5.1,4.24,5.65,4.86,4.56,6.9,6.7,5.2,2.48,24.3,3.82,6.7,3.44,2.52
9,5.25,8.95,5.7,5.85,2.13,4.56,5.1,9.4,5.1,3.52,6.25,2.78,6.1,17.8,5.3,4.36,5.7,4.96,4.56,7,7.1,5.15,2.52,24.1,3.96,6.7,3.44,2.54
9.2,5.5,8.85,5.75,5.95,2.21,4.66,5.1,9.35,5.35,3.64,6.5,2.92,6.15,17.9,5.55,4.42,5.8,5.3,4.58,7.25,7.2,5.5,2.76,24.6,3.96,6.95,3.58,2.68
9.15,5.4,8.7,5.75,6.1,2.18,4.62,5.15,9.55,5.35,3.78,6.4,3,6.15,18.1,5.4,4.42,5.75,5.25,4.58,7.55,7.25,5.5,2.68,24.2,3.88,7.3,3.54,2.62
9.55,5.7,8.8,6.2,6.5,2.29,4.8,5.25,9.8,5.5,3.92,6.55,3.04,6.35,18.3,5.55,4.64,5.95,5.25,4.62,7.7,7.5,5.7,2.8,25,4.02,7.45,3.64,2.68
9.6,5.9,9.1,6.6,6.9,2.41,4.9,5.4,10.1,5.75,4,6.95,3.06,6.35,18.5,5.6,4.74,6.05,5.35,4.66,7.6,7.45,5.5,2.96,25.4,4.04,7.65,3.56,2.8
9.4,5.8,9.05,6.45,6.85,2.56,5.08,5.4,10,5.75,4.16,7.05,3,6.2,18.1,5.55,5.22,5.9,5.55,4.74,7.6,7.3,5.55,2.94,25.75,3.96,7.65,3.62,2.86
9.05,5.85,9,6.4,7.05,2.56,5.2,5.25,10.15,5.6,4.16,7,3,6.1,17.8,5.35,5.25,5.85,5.5,4.7,7.9,7.2,5.45,2.94,25.75,3.98,7.55,3.56,2.78
8.9,5.7,8.95,6.3,7,2.43,5.05,5.25,10.1,5.5,4.12,6.95,3.06,5.95,17.6,5.2,4.95,5.8,5.55,5.02,7.75,7.2,5.3,2.96,25,4.08,7.25,3.5,2.74
9.05,5.95,8.95,6.4,7.2,2.41,5.15,5.25,10.1,5.45,4.16,6.8,3.04,6.05,18,5.25,4.92,5.9,5.5,4.92,7.75,7.35,5.35,3.06,25.1,4.02,3.74,3.46,2.76
9,5.9,8.85,6.5,7.15,2.37,4.95,5.1,10.6,5.3,4.14,6.7,3,6,18.5,5.2,4.86,5.85,5.55,5.1,7.85,7.3,5.35,3,25,4,3.64,3.5,2.74
9.35,6.15,9.75,6.6,7.3,2.56,5.35,5.4,10.9,5.85,4.46,7.3,3.1,6.35,18.9,5.5,5.05,6.25,5.75,5.5,7.8,7.5,5.85,3.1,26.75,4.06,3.96,3.52,3
9.5,5.95,9.8,6.5,7.3,2.5,5.25,5.3,10.8,5.8,4.44,7.25,3.16,6.2,17.7,5.45,5,6.05,5.7,5.6,7.75,7.55,5.75,3.12,26.75,4.24,3.9,3.74,2.98
9.6,5.95,9.6,6.5,7.3,2.5,5.1,5.3,10.3,5.75,4.5,7.1,3.14,6.2,17.9,5.7,5.05,6.05,5.65,5.55,7.8,7.5,5.6,3.08,27,4.88,3.82,3.62,2.96
9.45,6,9.5,6.5,7.15,2.47,4.92,5.5,10.2,5.6,4.46,7.05,3.12,6.25,17.8,5.65,4.96,5.95,5.55,5.35,7.75,7.5,5.6,3.06,27,4.75,3.78,3.58,2.94
9.3,6,9.55,6.4,7.1,2.31,4.78,5.55,10.2,5.55,4.3,6.95,3.06,6.35,17.8,6,4.74,5.85,5.5,5.4,7.6,7.75,5.55,3,27,4.72,3.72,3.52,2.94
9.35,6.2,9.7,6.5,7.05,2.34,4.78,5.5,11.4,5.45,4.26,6.95,3.08,6.35,17.9,6.9,4.98,5.85,5.6,5.4,7.6,7.65,5.35,3.06,27.25,4.8,3.6,3.6,3.06
9.5,6.25,9.8,6.55,7.05,2.34,4.78,5.5,12.2,5.55,4.28,7.05,3.22,6.4,18.7,6.8,4.9,5.85,5.65,5.45,7.55,7.7,5.45,3.08,27.25,4.84,3.66,3.64,3.08
9.75,6.4,10.3,6.6,7,2.37,4.8,5.6,12.8,5.65,4.4,7.2,3.26,6.35,18.6,6.6,4.94,5.95,5.9,6.45,7.55,7.9,5.65,3.06,27.5,4.86,3.7,3.72,3.12
9.85,6.3,10.2,6.55,7.1,2.37,5.06,5.6,13.1,5.9,4.38,7.25,3.2,6.35,18.5,6.6,4.94,6.05,6.05,6.6,7.7,7.75,5.85,3.1,27.75,4.84,3.78,3.84,3.28
9.85,6.65,10.3,6.5,7.05,2.35,4.98,5.65,12.6,5.75,4.26,7.45,3.24,6.15,18.7,6.6,4.9,6.1,6,6.4,7.6,7.95,5.7,3.08,27.25,4.82,3.74,3.82,3.36
